"日付","不明","出金","入金","残高"
"04-08-01","002RT","26680","セイサクコウコ","341328"
"04-08-01","002RT","36942","セイサクコウコ","304386"
"04-08-01","002RT","171400","コクゼイ","132986"
"04-08-01","002K","ヨキン","50534","183520"
"04-08-01","002K","ヨキン","23600","207120"
"","","","",""
"","","","",""
"04-08-01","002Q","20000","シハライキン","187120"
"04-08-02","002K","ヨキン","26991","214111"
"04-08-03","002RT","8100","SMTパナ","206011"
"04-08-03","002K","ヨキン","31054","237065"
"04-08-03","002Q","ヨキン","シハライキン","222177006858"
"0044--0088--0045","000022KLT","リクルート","288455","515543"
"04-08-05-","002RT","10450","ミツビシクレジット","505093"
"04-08-05","002LT","ゴートゥーイート","25000","530093"
"04-08-05","002K","ヨキン","支::153020000","545413"
"04-08-05","002Q","400000","シハライキン","145413"
"04-08-06","002QT","10000","カード・コンビニ","135413"
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
