"日付","摘要","出金","入金","残高","抽出文字列"
"04-08-29","操越","","",640001,""
"04-08-29","002RT",17800,"",622201,"APアプラス"
"04-08-29","002RT",23976,"",598225,"NSミﾂﾋﾞシHBL"
"04-08-29","002RT",36300,"",561925,"\,DFコモンリヨウ"
"04-08-29","002RT",91830,"",470095,"APSBSリョウ"
"04-08-29","002K",226,43181,"","ヨキンキ/"
"04-08-29","002K",927,32369,554153627465,"ヨキンキ/"
"04-08-29","002Q",140000,"",405645,"シハライキ"
"04-08-30.","002K",929,29703,435348,"ヨキンキノ/"
"04-08-30","002Q",10000,"",425348,"\,シハライキ"
"04-08-31","002RT",26670,"",398678,"\,セイサクコウココク"
"04-08-31","002RT",36928,"",361750,"セイサクコウココク"
"","","","","",""
"04-08-31","002K",230,6530309008,427148,"ヨキンキ/*,支払い"
"04-08-31","002Q",320000,5000,107148,"シハライキくこ\円生活"
"04-09-01","002K",811,69923,177071,"ヨキンキ/"
"04-09-01","002Q",20000,"",157071,"シハライキ支払い"
"04-09-02","002K","",4478244737,201853,"ヨキンキ"
"04-09-02","002Q",30000,2000,171853,"\,シハライキ支ざい"
"04-09-05","002LT","",2446,247299,"カリクルートペイメ"
"04-09-05","002RT",8100,"",239199,"\,SMTパナ"
"04-09-05","002RT",9210450,"",228749,"/\,ミツﾋﾞシクレジット"
"04-09-05","002K","",58268,287017,"ヨキンキ"
"04-09-05","002K",93,24470,311487,"ヨキンキ/"
"04-09-05","002Q",180000,"",131487,"\,シハライキ"
