"日付","摘要","出金","入金","残高","抽出文字列"
"2022/08/29","002RT",17800.0,"",622201.0,"APアプラス"
"2022/08/29","002RT",23976.0,"",598225.0,"NSミﾂﾋﾞシHBL"
"2022/08/29","002RT",36300.0,"",561925.0,"DFコモンリヨウ"
"2022/08/29","002RT",91830.0,"",470095.0,"APSBSリョウ"
"2022/08/29","002K","",43181.0,"","ヨキンキ"
"2022/08/29","002K","",32369.0,-2147483648.0,"ヨキンキ"
"2022/08/29","002Q",140000.0,"",405645.0,"シハライキ"
"2022/08/30","002K","",29703.0,435348.0,"ヨキンキノ"
"2022/08/30","002Q",10000.0,"",425348.0,"シハライキ"
"2022/08/31","002RT",26670.0,"",398678.0,"セイサクコウココク"
"2022/08/31","002RT",36928.0,"",361750.0,"セイサクコウココク"
"2022/08/31","002K","",65398.0,427148.0,"ヨキンキ支払い"
"2022/08/31","002Q",320000.0,"",107148.0,"シハライキくこ円生活"
"2022/09/01","002K","",69923.0,177071.0,"ヨキンキ"
"2022/09/01","002Q",20000.0,"",157071.0,"シハライキ支払い"
"2022/09/02","002K","",44782.0,201853.0,"ヨキンキ"
"2022/09/02","002Q",30000.0,"",171853.0,"シハライキ支ざい"
"2022/09/05","002LT","",75446.0,247299.0,"カリクルートペイメ"
"2022/09/05","002RT",8100.0,"",239199.0,"SMTパナ"
"2022/09/05","002RT",10450.0,"",228749.0,"ミツﾋﾞシクレジット"
"2022/09/05","002K","",58268.0,287017.0,"ヨキンキ"
"2022/09/05","002K","",24470.0,311487.0,"ヨキンキ"
"2022/09/05","002Q",180000.0,"",131487.0,"シハライキ"
