伝票日付,（借）科目ｺｰﾄﾞ,（借）科目名,（借）補助ｺｰﾄﾞ,（借）補助名,（借）金額,（借）税込区分,（借）消費税ｺｰﾄﾞ,（借）消費税率,（貸）科目ｺｰﾄﾞ,（貸）科目名,（貸）補助ｺｰﾄﾞ,（貸）補助名,（貸）金額,（貸）税込区分,（貸）消費税ｺｰﾄﾞ,（貸）消費税率,摘要
2022/08/06,6231,雑費,,nan,220,1,10,4,1111,現金,,nan,220,0,,,広島信用金庫　振込手数料
2022/08/08,1113,普通預金,1,もみじ銀行,65424,0,,,1111,現金,,nan,65424,0,,,8/5　売上
2022/08/08,1113,普通預金,1,もみじ銀行,6000,0,,,1111,現金,,nan,6000,0,,,8/6　売上
2022/08/08,1111,現金,,nan,30000,0,,,1113,普通預金,1,もみじ銀行,30000,0,,,引出し
2022/08/09,1113,普通預金,1,もみじ銀行,12110,0,,,1111,現金,,nan,12110,0,,,8/8　売上
2022/08/09,1113,普通預金,1,もみじ銀行,400000,0,,,1111,現金,,nan,400000,0,,,8/22　売上
2022/08/10,1113,普通預金,1,もみじ銀行,15781,0,,,1111,現金,,nan,15781,0,,,8/9　売上
2022/08/10,1111,現金,,nan,20000,0,,,1113,普通預金,1,もみじ銀行,20000,0,,,引出し
2022/08/12,1113,普通預金,1,もみじ銀行,200,0,,,4111,売上高,,nan,200,1,10,4,カカクコムTポイント
2022/08/12,1113,普通預金,1,もみじ銀行,30085,0,,,1111,現金,,nan,30085,0,,,8/10　売上
2022/08/12,1113,普通預金,1,もみじ銀行,56162,0,,,1111,現金,,nan,56162,0,,,8/11　売上
2022/08/12,1111,現金,,nan,500000,0,,,1113,普通預金,1,もみじ銀行,500000,0,,,引出し
2022/08/15,1113,普通預金,1,もみじ銀行,23360,0,,,1122,売掛金,1,カード,23360,0,,,リクルートペイメント　入金
2022/08/16/,1113,普通預金,1,もみじ銀行,202086,0,,,1111,現金,,nan,202086,0,,,7/30　売上
2022/08/18,1113,普通預金,1,もみじ銀行,70000,0,,,1111,現金,,nan,70000,0,,,8/12　売上
2022/08/18,1113,普通預金,1,もみじ銀行,80508,0,,,1111,現金,,nan,80508,0,,,8/13　売上
2022/08/18,1111,現金,,nan,39359,0,,,1113,普通預金,1,もみじ銀行,39359,0,,,引出し
2022/08/18,1113,普通預金,1,もみじ銀行,70000,0,,,1111,現金,,nan,70000,0,,,8/17　売上
2022/08/19,6113,広告宣伝費,,nan,43252,1,10,4,9311,事業主借,,nan,43252,0,,,7/4　食べログ　広告代（しんきんカードより）
2022/08/22,6231,雑費,,nan,4,1,10,4,1113,普通預金,1,もみじ銀行,4,0,,,サニクリーン　ユニフォーム代
2022/08/22,6231,雑費,,nan,11262,1,10,4,1113,普通預金,1,もみじ銀行,11262,0,,,サニクリーン　マット代等
2022/08/22,6113,11500,11500,nan,11500,1,10,3,1113,普通預金,1,もみじ銀行,11500,0,,,タイヘイ　HP（2019.6～）
