"伝票日付","（借）科目ｺｰﾄﾞ","（借）科目名","（借）補助ｺｰﾄﾞ","（借）補助名","（借）金額","（借）税込区分","（借）消費税ｺｰﾄﾞ","（借）消費税率","（貸）科目ｺｰﾄﾞ","（貸）科目名","（貸）補助ｺｰﾄﾞ","（貸）補助名","（貸）金額","（貸）税込区分","（貸）消費税ｺｰﾄﾞ","（貸）消費税率","摘要"
2022/01/04,6228,"リース料",,"",8100,1,10,3,1113,"普通預金",1,"もみじ銀行",8100,0,,,"SMTパナ　冷蔵庫リース"
2022/01/04,2212,"長期借入金",2,"公庫210万",26000,0,,,1113,"普通預金",1,"もみじ銀行",26000,0,,,"日本政策金融公庫　借入金返済"
2022/01/04,7511,"支払利息",2,"公庫@26,000",751,0,30,0,1113,"普通預金",1,"もみじ銀行",751,0,,,"日本政策金融公庫　支払利息"
2022/01/04,2212,"長期借入金",1,"公庫290万",36000,0,,,1113,"普通預金",1,"もみじ銀行",36000,0,,,"日本政策金融公庫　借入金返済"
2022/01/04,7511,"支払利息",1,"公庫@36,000",1040,0,30,0,1113,"普通預金",1,"もみじ銀行",1040,0,,,"日本政策金融公庫　支払利息"
2022/01/06,1113,"普通預金",1,"もみじ銀行",441407,0,,,1122,"売掛金",1,"カード",441407,0,,,"リクルートペイメント　入金"
2022/01/06,1111,"現金",,"",20000,0,,,1113,"普通預金",1,"もみじ銀行",20000,0,,,"引出し"
2022/01/06,9411,"事業主貸",,"",50000,0,,,1113,"普通預金",1,"もみじ銀行",50000,0,,,"生活費"
2022/01/06,1111,"現金",,"",480,0,,,4111,"売上高",,"",480,1,10,4,"現金売上"
2022/01/06,5211,"商品仕入高",,"",3974,1,10,5,1111,"現金",,"",3974,0,,,"豊島水産　仕入"
2022/01/06,5211,"商品仕入高",,"",1879,1,10,5,1111,"現金",,"",1879,0,,,"フジグラン　仕入"
2022/01/06,5211,"商品仕入高",,"",3048,1,10,5,1111,"現金",,"",3048,0,,,"プロマート　仕入"
2022/01/06,5211,"商品仕入高",,"",1452,1,10,5,1111,"現金",,"",1452,0,,,"フジグラン　仕入"
2022/01/06,6225,"消耗品費",,"",5060,1,10,4,1111,"現金",,"",5060,0,,,"タイヨーパッケージ　消耗品"
2022/01/06,6231,"雑費",,"",15253,0,30,0,1122,"売掛金",1,"カード",15253,0,,,"リクルートペイメント　保証料"
2022/01/06,1122,"売掛金",1,"カード",10000,0,,,4111,"売上高",,"",10000,1,10,4,"カード売上/JCB"
2022/01/06,1122,"売掛金",2,"Go To Eat",22000,0,,,4111,"売上高",,"",22000,1,10,4,"Go　To　Eat　売上"
2022/01/07,1113,"普通預金",1,"もみじ銀行",5067,0,,,1111,"現金",,"",5067,0,,,"1/6　売上"
2022/01/07,1111,"現金",,"",180000,0,,,1113,"普通預金",1,"もみじ銀行",180000,0,,,"引出し"
2022/01/07,1111,"現金",,"",83470,0,,,4111,"売上高",,"",83470,1,10,4,"現金売上"
2022/01/07,5211,"商品仕入高",,"",9249,1,10,5,1111,"現金",,"",9249,0,,,"豊島水産　仕入"
2022/01/07,5211,"商品仕入高",,"",2178,1,10,4,1111,"現金",,"",2178,0,,,"リカーマウンテン　仕入"
2022/01/07,2115,"未払費用",,"",168774,0,,,1111,"現金",,"",168774,0,,,"従業員給与"
2022/01/07,1122,"売掛金",1,"カード",57230,0,,,4111,"売上高",,"",57230,1,10,4,"カード売上/JCB"
2022/01/08,1111,"現金",,"",52000,0,,,4111,"売上高",,"",52000,1,10,4,"現金売上"
2022/01/08,5211,"商品仕入高",,"",1296,1,10,5,1111,"現金",,"",1296,0,,,"豊島水産　仕入"
2022/01/08,6225,"消耗品費",,"",4455,1,10,4,1111,"現金",,"",4455,0,,,"ヤマダ電機　消耗品"
2022/01/08,1122,"売掛金",1,"カード",22410,0,,,4111,"売上高",,"",22410,1,10,4,"カード売上/VISA"
2022/01/11,1113,"普通預金",1,"もみじ銀行",83269,0,,,1111,"現金",,"",83269,0,,,"1/7　売上"
2022/01/11,1113,"普通預金",1,"もみじ銀行",46139,0,,,1111,"現金",,"",46139,0,,,"1/8　売上"
2022/01/11,1113,"普通預金",1,"もみじ銀行",110,0,,,1111,"現金",,"",110,0,,,"1/8　売上"
2022/01/11,1111,"現金",,"",350000,0,,,1113,"普通預金",1,"もみじ銀行",350000,0,,,"引出し"
2022/01/11,9411,"事業主貸",,"",100000,0,,,1113,"普通預金",1,"もみじ銀行",100000,0,,,"生活費"
2022/01/11,1111,"現金",,"",6262,0,,,9311,"事業主借",,"",6262,0,,,"事業主借"
2022/01/11,6113,"広告宣伝費",,"",47650,1,10,4,1111,"現金",,"",47650,0,,,"リクルート　広告掲載料"
2022/01/11,6117,"サービス費",,"",13145,1,10,4,1111,"現金",,"",13145,0,,,"広島おしぼり　おしぼり代"
2022/01/11,2112,"買掛金",,"",268897,0,,,1111,"現金",,"",268897,0,,,"買掛金支払/住田㈱"
2022/01/11,9411,"事業主貸",,"",26570,0,,,1111,"現金",,"",26570,0,,,"信金引き落とし分　前期計上済み"
2022/01/12,6117,"サービス費",,"",1750,1,10,4,1113,"普通預金",2,"県信",1750,0,,,"USEN　聴講料"
2022/01/13,1111,"現金",,"",330000,0,,,1113,"普通預金",1,"もみじ銀行",330000,0,,,"引出し"
2022/01/13,6218,"通信費",,"",3622,1,10,4,1111,"現金",,"",3622,0,,,"ソフトバンク　Wi-Fi 2021.12"
2022/01/13,2112,"買掛金",,"",319586,0,,,1111,"現金",,"",319586,0,,,"買掛金支払/㈱優侑ミート"
2022/01/14,1113,"普通預金",1,"もみじ銀行",2330,0,,,1122,"売掛金",0,"諸口",2330,0,,,"カカクコム　Tポイント　入金"
2022/01/14,1113,"普通預金",1,"もみじ銀行",6792,0,,,1111,"現金",,"",6792,0,,,"1/　売上"
2022/01/14,1111,"現金",,"",30000,0,,,1113,"普通預金",1,"もみじ銀行",30000,0,,,"引出し"
2022/01/14,6231,"雑費",,"",17000,0,30,0,1111,"現金",,"",17000,0,,,"広島市健康福祉局　飲食店営業"
