"伝票日付","（借）科目ｺｰﾄﾞ","（借）科目名","（借）補助ｺｰﾄﾞ","（借）補助名","（借）金額","（借）税込区分","（借）消費税ｺｰﾄﾞ","（借）消費税率","（貸）科目ｺｰﾄﾞ","（貸）科目名","（貸）補助ｺｰﾄﾞ","（貸）補助名","（貸）金額","（貸）税込区分","（貸）消費税ｺｰﾄﾞ","（貸）消費税率","摘要"
2022/08/01,2212,"長期借入金",2,"公庫210万",26000,0,,,1113,"普通預金",1,"もみじ銀行",26000,0,,,"日本政策金融公庫　借入金返済"
2022/08/01,7511,"支払利息",2,"公庫@26,000",680,0,30,0,1113,"普通預金",1,"もみじ銀行",680,0,,,"日本政策金融公庫　支払利息"
2022/08/01,2212,"長期借入金",1,"公庫290万",36000,0,,,1113,"普通預金",1,"もみじ銀行",36000,0,,,"日本政策金融公庫　借入金返済"
2022/08/01,7511,"支払利息",1,"公庫@36,000",942,0,30,0,1113,"普通預金",1,"もみじ銀行",942,0,,,"日本政策金融公庫　支払利息"
2022/08/01,9411,"事業主貸",,"",171400,0,,,1113,"普通預金",1,"もみじ銀行",171400,0,,,"所得税　中間納付"
2022/08/01,1113,"普通預金",1,"もみじ銀行",50534,0,,,1111,"現金",,"",50534,0,,,"7/29　売上"
2022/08/01,1113,"普通預金",1,"もみじ銀行",23600,0,,,1111,"現金",,"",23600,0,,,"7/30　売上"
2022/08/01,1111,"現金",,"",20000,0,,,1113,"普通預金",1,"もみじ銀行",20000,0,,,"引出し"
2022/08/01,1111,"現金",,"",17420,0,,,4111,"売上高",,"",17420,1,10,4,"現金売上"
2022/08/01,5211,"商品仕入高",,"",5573,1,10,5,1111,"現金",,"",5573,0,,,"豊島水産　仕入"
2022/08/01,5211,"商品仕入高",,"",2854,1,10,5,1111,"現金",,"",2854,0,,,"フジグラン　仕入"
2022/08/01,5211,"商品仕入高",,"",489,1,10,5,1111,"現金",,"",489,0,,,"7/31 フジグラン　仕入"
2022/08/01,5211,"商品仕入高",,"",427,1,10,5,1111,"現金",,"",427,0,,,"7/30 フジグラン　仕入"
2022/08/01,5211,"商品仕入高",,"",216,1,10,5,1111,"現金",,"",216,0,,,"三越　仕入"
2022/08/01,6225,"消耗品費",,"",1138,1,10,4,1111,"現金",,"",1138,0,,,"ヤマダ電機　消耗品"
2022/08/01,6225,"消耗品費",,"",712,1,10,4,1111,"現金",,"",712,0,,,"ヤマダ電機　消耗品"
2022/08/01,6225,"消耗品費",,"",222,1,10,4,1111,"現金",,"",222,0,,,"ダイソー　消耗品"
2022/08/01,5211,"商品仕入高",,"",648,1,10,5,1111,"現金",,"",648,0,,,"ダイソー　仕入"
2022/08/01,1111,"現金",,"",1850,0,,,9311,"事業主借",,"",1850,0,,,"事業主借"
2022/08/01,1122,"売掛金",1,"カード",3000,0,,,4111,"売上高",,"",3000,1,10,4,"カード売上/JCB"
2022/08/02,1113,"普通預金",1,"もみじ銀行",26991,0,,,1111,"現金",,"",26991,0,,,"8/1　売上"
2022/08/02,1111,"現金",,"",32140,0,,,4111,"売上高",,"",32140,1,10,4,"現金売上"
2022/08/02,5211,"商品仕入高",,"",1086,1,10,5,1111,"現金",,"",1086,0,,,"フジグラン　仕入"
2022/08/03,6228,"リース料",,"",8100,1,10,3,1113,"普通預金",1,"もみじ銀行",8100,0,,,"SMTパナ　冷蔵庫リース"
2022/08/03,1113,"普通預金",1,"もみじ銀行",31054,0,,,1111,"現金",,"",31054,0,,,"8/2　売上"
2022/08/03,1111,"現金",,"",20000,0,,,1113,"普通預金",1,"もみじ銀行",20000,0,,,"引出し"
2022/08/03,6225,"消耗品費",,"",9251,1,10,4,1111,"現金",,"",9251,0,,,"テンポスバスターズ　消耗品代"
2022/08/03,6225,"消耗品費",,"",726,1,10,4,1111,"現金",,"",726,0,,,"セブンイレブン　消耗品"
2022/08/03,1122,"売掛金",1,"カード",15720,0,,,4111,"売上高",,"",15720,1,10,4,"カード売上/VISA"
2022/08/03,1122,"売掛金",1,"カード",10740,0,,,4111,"売上高",,"",10740,1,10,4,"カード売上/JCB"
