,検索ＮＯ,伝票ＮＯ,伝票日付,相手科目コード,相手科目名称,摘要,消費税コード,消費税率,借方金額,貸方金額,差引金額,税率区分
"1111 現金",,,,,,前月より繰越,,,,,144134,
,6,,R04/08/01,1113,普通預金,7/29　売上,,,,50534,,
,7,,R04/08/01,1113,普通預金,7/30　売上,,,,23600,,
,8,,R04/08/01,1113,普通預金,引出し,,,20000,,,
,91,,R04/08/01,4111,売上高,現金売上,,,17420,,,
,92,,R04/08/01,5211,商品仕入高,豊島水産　仕入,,,,5573,,
,93,,R04/08/01,5211,商品仕入高,フジグラン　仕入,,,,2854,,
,94,,R04/08/01,5211,商品仕入高,"7/31 フジグラン　仕入",,,,489,,
,95,,R04/08/01,5211,商品仕入高,"7/30 フジグラン　仕入",,,,427,,
,96,,R04/08/01,5211,商品仕入高,三越　仕入,,,,216,,
,97,,R04/08/01,6225,消耗品費,ヤマダ電機　消耗品,,,,1138,,
,98,,R04/08/01,6225,消耗品費,ヤマダ電機　消耗品,,,,712,,
,99,,R04/08/01,6225,消耗品費,ダイソー　消耗品,,,,222,,
,100,,R04/08/01,5211,商品仕入高,ダイソー　仕入,,,,648,,
,101,,R04/08/01,9311,事業主借,事業主借,,,1850,,96991,
,9,,R04/08/02,1113,普通預金,8/1　売上,,,,26991,,
,102,,R04/08/02,4111,売上高,現金売上,,,32140,,,
,103,,R04/08/02,5211,商品仕入高,フジグラン　仕入,,,,1086,101054,
,11,,R04/08/03,1113,普通預金,8/2　売上,,,,31054,,
,12,,R04/08/03,1113,普通預金,引出し,,,20000,,,
,104,,R04/08/03,6225,消耗品費,テンポスバスターズ　消耗品代,,,,9251,,
,105,,R04/08/03,6225,消耗品費,セブンイレブン　消耗品,,,,726,80023,
,13,,R04/08/04,1113,普通預金,8/3　売上,,,,10023,,
,106,,R04/08/04,4111,売上高,現金売上,,,15320,,85320,
,17,,R04/08/05,1113,普通預金,8/4　売上,,,,15320,,
,18,,R04/08/05,1113,普通預金,引出し,,,380000,,,
