"伝票日付","（借）科目ｺｰﾄﾞ","（借）科目名","（借）補助ｺｰﾄﾞ","（借）補助名","（借）金額","（借）税込区分","（借）消費税ｺｰﾄﾞ","（借）消費税率","（貸）科目ｺｰﾄﾞ","（貸）科目名","（貸）補助ｺｰﾄﾞ","（貸）補助名","（貸）金額","（貸）税込区分","（貸）消費税ｺｰﾄﾞ","（貸）消費税率","摘要"
"2022/08/29","1113","普通預金","1","もみじ銀行","9522","0","","","1111","現金","","nan","9522","0","","","8/26　売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","9538","0","","","1111","現金","","nan","9538","0","","","8/17　売上"
"2022/08/29","1111","現金","","nan","9636","0","","","4111","売上高","","nan","9636","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","9371","0","","","1111","現金","","nan","9371","0","","","8/24　売上"
"2022/08/29","1122","売掛金","1","カード","9235","0","","","4111","売上高","","nan","9235","1","10","4","カード売上/JCB"
"2022/08/29","1111","現金","","nan","9173","0","","","4111","売上高","","nan","9173","1","10","4","現金売上"
"2022/08/29","1111","現金","","nan","9976","0","","","4111","売上高","","nan","9976","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","8816","0","","","4111","売上高","","nan","8816","1","10","4","カード売上/JCB"
"2022/08/29","1122","売掛金","1","カード","8785","0","","","4111","売上高","","nan","8785","1","10","4","カード売上/VISA"
"2022/08/29","1113","普通預金","1","もみじ銀行","8679","0","","","1111","現金","","nan","8679","0","","","8/13　売上"
"2022/08/29","6221","租税公課","","nan","8534","0","40","","2125","未払消費税","","nan","8534","0","","","消費税概算計上"
"2022/08/29","1122","売掛金","2","Go To Eat","8380","0","","","4111","売上高","","nan","8380","1","10","4","Go To Eat　売上"
"2022/08/29","1111","現金","","nan","10933","0","","","4111","売上高","","nan","10933","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","11143","0","","","1111","現金","","nan","11143","0","","","7/29　売上"
"2022/08/29","1111","現金","","nan","7634","0","","","4111","売上高","","nan","7634","1","10","4","現金売上"
"2022/08/29","1111","現金","","nan","11740","0","","","4111","売上高","","nan","11740","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","11848","0","","","1111","現金","","nan","11848","0","","","8/25　売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","7138","0","","","1111","現金","","nan","7138","0","","","8/27　売上"
"2022/08/29","1111","現金","","nan","7087","0","","","4111","売上高","","nan","7087","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","6848","0","","","1111","現金","","nan","6848","0","","","8/2　売上"
"2022/08/29","1122","売掛金","1","カード","6823","0","","","4111","売上高","","nan","6823","1","10","4","カード売上/VISA"
"2022/08/29","1122","売掛金","1","カード","6757","0","","","4111","売上高","","nan","6757","1","10","4","カード売上/JCB"
"2022/08/29","1113","普通預金","1","もみじ銀行","12385","0","","","1111","現金","","nan","12385","0","","","8/11　売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","6634","0","","","1111","現金","","nan","6634","0","","","8/10　売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","6550","0","","","1111","現金","","nan","6550","0","","","8/29　売上"
"2022/08/29","1111","現金","","nan","12697","0","","","4111","売上高","","nan","12697","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","12783","0","","","1111","現金","","nan","12783","0","","","8/19　売上"
"2022/08/29","1111","現金","","nan","12832","0","","","4111","売上高","","nan","12832","1","10","4","現金売上"
"2022/08/29","1111","現金","","nan","6192","0","","","4111","売上高","","nan","6192","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","6144","0","","","4111","売上高","","nan","6144","1","10","4","カード売上/VISA"
"2022/08/29","1111","現金","","nan","12931","0","","","4111","売上高","","nan","12931","1","10","4","現金売上"
"2022/08/29","1111","現金","","nan","12949","0","","","4111","売上高","","nan","12949","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","6042","0","","","4111","売上高","","nan","6042","1","10","4","カード売上/VISA"
"2022/08/29","1113","普通預金","1","もみじ銀行","5952","0","","","1111","現金","","nan","5952","0","","","8/1　売上"
"2022/08/29","1122","売掛金","1","カード","13231","0","","","4111","売上高","","nan","13231","1","10","4","カード売上/JCB"
"2022/08/29","1111","現金","","nan","5800","0","","","4111","売上高","","nan","5800","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","5506","0","","","1111","現金","","nan","5506","0","","","8/18　売上"
"2022/08/29","1122","売掛金","1","カード","5438","0","","","4111","売上高","","nan","5438","1","10","4","カード売上/VISA"
"2022/08/29","1122","売掛金","1","カード","5367","0","","","4111","売上高","","nan","5367","1","10","4","カード売上/VISA"
"2022/08/29","1122","売掛金","1","カード","5292","0","","","4111","売上高","","nan","5292","1","10","4","カード売上/JCB"
"2022/08/29","1122","売掛金","1","カード","5204","0","","","4111","売上高","","nan","5204","1","10","4","カード売上/VISA"
"2022/08/29","1113","普通預金","1","もみじ銀行","5204","0","","","1111","現金","","nan","5204","0","","","7/30　売上"
"2022/08/29","1122","売掛金","1","カード","4979","0","","","4111","売上高","","nan","4979","1","10","4","カード売上/VISA"
"2022/08/29","1111","現金","","nan","14106","0","","","4111","売上高","","nan","14106","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","4913","0","","","4111","売上高","","nan","4913","1","10","4","カード売上/Master"
"2022/08/29","9411","事業主貸","","nan","4710","0","","","1113","普通預金","2","県信","4710","0","","","三井住友海上火災保険　保険料（車）"
"2022/08/29","1113","普通預金","1","もみじ銀行","14421","0","","","1111","現金","","nan","14421","0","","","8/30　売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","14427","0","","","1111","現金","","nan","14427","0","","","8/5　売上"
"2022/08/29","1122","売掛金","1","カード","4490","0","","","4111","売上高","","nan","4490","1","10","4","カード売上/JCB"
"2022/08/29","1111","現金","","nan","4481","0","","","4111","売上高","","nan","4481","1","10","4","現金売上"
"2022/08/29","1111","現金","","nan","14580","0","","","4111","売上高","","nan","14580","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","4413","0","","","1111","現金","","nan","4413","0","","","8/23　売上"
"2022/08/29","1111","現金","","nan","4413","0","","","4111","売上高","","nan","4413","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","4340","0","","","4111","売上高","","nan","4340","1","10","4","カード売上/Master"
"2022/08/29","1122","売掛金","1","カード","4046","0","","","4111","売上高","","nan","4046","1","10","4","カード売上/VISA"
"2022/08/29","1122","売掛金","1","カード","3974","0","","","4111","売上高","","nan","3974","1","10","4","カード売上/VISA"
"2022/08/29","1111","現金","","nan","3841","0","","","4111","売上高","","nan","3841","1","10","4","現金売上"
"2022/08/29","5211","商品仕入高","","nan","15359","1","10","5","2112","買掛金","","nan","15359","0","","","買掛金計上/住田㈱"
"2022/08/29","1122","売掛金","1","カード","3674","0","","","4111","売上高","","nan","3674","1","10","4","カード売上/Master"
"2022/08/29","1122","売掛金","1","カード","3634","0","","","4111","売上高","","nan","3634","1","10","4","カード売上/Master"
"2022/08/29","1122","売掛金","1","カード","3603","0","","","4111","売上高","","nan","3603","1","10","4","カード売上/JCB"
"2022/08/29","1113","普通預金","1","もみじ銀行","3480","0","","","1111","現金","","nan","3480","0","","","8/9　売上"
"2022/08/29","1122","売掛金","1","カード","3466","0","","","4111","売上高","","nan","3466","1","10","4","カード売上/VISA"
"2022/08/29","1113","普通預金","1","もみじ銀行","3378","0","","","1111","現金","","nan","3378","0","","","8/4　売上"
"2022/08/29","1111","現金","","nan","3378","0","","","4111","売上高","","nan","3378","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","2823","0","","","4111","売上高","","nan","2823","1","10","4","カード売上/Master"
"2022/08/29","1122","売掛金","1","カード","2706","0","","","4111","売上高","","nan","2706","1","10","4","カード売上/Master"
"2022/08/29","1122","売掛金","1","カード","2677","0","","","4111","売上高","","nan","2677","1","10","4","カード売上/Master"
"2022/08/29","1113","普通預金","1","もみじ銀行","2670","0","","","1111","現金","","nan","2670","0","","","8/8　売上"
"2022/08/29","1122","売掛金","1","カード","2492","0","","","4111","売上高","","nan","2492","1","10","4","カード売上/JCB"
"2022/08/29","1122","売掛金","1","カード","2368","0","","","4111","売上高","","nan","2368","1","10","4","カード売上/JCB"
"2022/08/29","1113","普通預金","1","もみじ銀行","2210","0","","","1111","現金","","nan","2210","0","","","8/3　売上"
"2022/08/29","1122","売掛金","1","カード","2205","0","","","4111","売上高","","nan","2205","1","10","4","カード売上/Master"
"2022/08/29","1122","売掛金","1","カード","1689","0","","","4111","売上高","","nan","1689","1","10","4","カード売上/VISA"
"2022/08/29","6224","損害保険料","","nan","1519","0","30","","1113","普通預金","2","県信","1519","0","","","三井住友海上火災保険　保険料"
"2022/08/29","6214","減価償却費","","nan","1500","0","40","","1225","減価償却累計額","","nan","1500","0","","","当月概算計上"
"2022/08/29","1113","普通預金","1","もみじ銀行","1323","0","","","1111","現金","","nan","1323","0","","","8/6　売上"
"2022/08/29","1111","現金","","nan","1323","0","","","4111","売上高","","nan","1323","1","10","4","現金売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","17753","0","","","1111","現金","","nan","17753","0","","","8/12　売上"
"2022/08/29","1111","現金","","nan","17822","0","","","4111","売上高","","nan","17822","1","10","4","現金売上"
"2022/08/29","1122","売掛金","1","カード","662","0","","","4111","売上高","","nan","662","1","10","4","カード売上/JCB"
"2022/08/29","1113","普通預金","1","もみじ銀行","18400","0","","","1111","現金","","nan","18400","0","","","8/22　売上"
"2022/08/29","1113","普通預金","1","もみじ銀行","221","0","","","1111","現金","","nan","221","0","","","8/22　売上"
"2022/08/29","5211","商品仕入高","","nan","23254","1","10","4","2112","買掛金","","nan","23254","0","","","買掛金計上/住田㈱"
"2022/08/29","5211","商品仕入高","","nan","43181","1","10","5","2112","買掛金","","nan","43181","0","","","買掛金計上/㈱優侑ミート"
