検索ＮＯ,相手ＮＯ,伝票ＮＯ,証憑ＮＯ,伝票日付,借方,借方製造区分,借方科目名,借方科目別補助コード,借方科目別補助名称,,,,,金額,借方外税区分,借方外税額,貸方,貸方製造区分,貸方科目名,貸方科目別補助コード,貸方科目別補助名称,,,,,金額,貸方外税区分,貸方外税額,消費税,消費税額,業種,売上仕入,税率,期日,資金繰コード,資金繰名,摘要,税率区分
1,,,,2022/3/1,1122, ,売掛金,0,諸口,,,,,53000,,,4111, ,売上高,,,,,,,53000,,,10,4818,１種,売上,10.00%,,,,掛売上,
2,,,,2022/3/2,1113, ,普通預金,2,広島信用金庫社,,,,,90000,,,1111, ,現金,,,,,,,90000,,,,,,,,,,,預金,
3,,,,2022/3/7,1115, ,積立預金,,,,,,,20000,,,1113, ,普通預金,2,広島信用金庫社,,,,,20000,,,,,,,,,,,定期積金自動振替,
4,,,,2022/3/7,2114, ,未払金,0,諸口,,,,,10351,,,1111, ,現金,,,,,,,10351,,,,,,,,,21,その他支出,電気料金　中国電力　2月分　セブンイレブン,
5,,,,2022/3/7,2212, ,長期借入金,0,諸口,,,,,120000,,,1113, ,普通預金,1,広島信用金庫売,,,,,120000,,,,,,,,,41,長期借入金返済,借入金元本返済　広信＠12万,
6,,,,2022/3/7,7511, ,支払利息,0,諸口,,,,,859,,,1113, ,普通預金,1,広島信用金庫売,,,,,859,,,30,,,仕入,,,19,支払利息割引料,借入金利息,
7,,,,2022/3/7,2212, ,長期借入金,0,諸口,,,,,60000,,,1113, ,普通預金,1,広島信用金庫売,,,,,60000,,,,,,,,,41,長期借入金返済,借入金元本返済　広信＠6万,
8,,,,2022/3/7,7511, ,支払利息,0,諸口,,,,,3442,,,1113, ,普通預金,1,広島信用金庫売,,,,,3442,,,30,,,仕入,,,19,支払利息割引料,借入金利息,
9,,,,2022/3/7,2212, ,長期借入金,0,諸口,,,,,35000,,,1113, ,普通預金,1,広島信用金庫売,,,,,35000,,,,,,,,,41,長期借入金返済,借入金元本返済　公庫　コロナ特別　＠35　,
10,,,,2022/3/7,7511, ,支払利息,0,諸口,,,,,466,,,1113, ,普通預金,1,広島信用金庫売,,,,,466,,,30,,,仕入,,,19,支払利息割引料,借入金利息,
11,,,,2022/3/7,6227, ,管理諸費,,,,,,,1210,,,1113, ,普通預金,1,広島信用金庫売,,,,,1210,,,10,110,,仕入,10.00%,,18,販売管理費,広信　IB　手数料,
12,,,,2022/3/10,2115, ,未払費用,,,,,,,2310,,,1113, ,普通預金,1,広島信用金庫売,,,,,2310,,,,,,,,,14,未払費用支払,広信　IB　振込料,
13,,,,2022/3/15,2112, ,買掛金,23,㈱読売連合広告,,,,,303511,,,1113, ,普通預金,1,広島信用金庫売,,,,,303511,,,,,,,,,12,買掛金支払,掛代金支払,
14,,,,2022/3/15,2112, ,買掛金,23,㈱読売連合広告,,,,,550,,,2115, ,未払費用,,,,,,,550,,,,,,,,,,,振込料,
15,,,,2022/3/15,1113, ,普通預金,1,広島信用金庫売,,,,,36025,,,1122, ,売掛金,13,サテライト山陽,,,,,36025,,,,,,,,,3,売掛金入金,掛代金振込,
16,,,,2022/3/15,6227, ,管理諸費,,,,,,,825,,,1122, ,売掛金,13,サテライト山陽,,,,,825,,,10,75,,仕入,10.00%,,,,振込料,
17,,,,2022/3/16,1113, ,普通預金,1,広島信用金庫売,,,,,11906,,,7118, ,雑収入,,,,,,,11906,,,10,1082,１種,売上,10.00%,,7,営業外収入,広島県経営革新　コロナ対応資金　利子補給,
18,,,,2022/3/19,1113, ,普通預金,0,諸口,,,,,31000,,,1122, ,売掛金,0,諸口,,,,,31000,,,,,,,,,3,売掛金入金,掛代金振込,
19,,,,2022/3/20,6111, ,従業員給与,,,,,,,200000,,,2114, ,未払金,1,給与,,,,,200000,,,40,,,仕入,,,,,従業員給与　岡崎洋子,
20,,,,2022/3/20,2114, ,未払金,1,給与,,,,,11840,,,2117, ,預り金,3,法定福利,,,,,11840,,,,,,,,,,,健康保険　岡崎洋子,
21,,,,2022/3/20,2114, ,未払金,1,給与,,,,,18300,,,2117, ,預り金,3,法定福利,,,,,18300,,,,,,,,,,,厚生年金　岡崎洋子,
22,,,,2022/3/20,2114, ,未払金,1,給与,,,,,3700,,,2117, ,預り金,1,源泉所得税,,,,,3700,,,,,,,,,,,源泉所得税　岡崎洋子,
23,,,,2022/3/20,2114, ,未払金,1,給与,,,,,6600,,,2117, ,預り金,2,住民税,,,,,6600,,,,,,,,,,,住民税　岡崎洋子,
