伝票日付,（借）科目ｺｰﾄﾞ,（借）科目名,（借）補助ｺｰﾄﾞ,（借）補助名,（借）金額,（借）税込区分,（借）消費税ｺｰﾄﾞ,（借）消費税率,（貸）科目ｺｰﾄﾞ,（貸）科目名,（貸）補助ｺｰﾄﾞ,（貸）補助名,（貸）金額,（貸）税込区分,（貸）消費税ｺｰﾄﾞ,（貸）消費税率,摘要
2022/08/06,1113,普通預金,1,もみじ銀行,テスウリヨウ,0,nan,nan,1111,現金,nan,nan,220,0,nan,nan,5/20　売上
2022/08/08,1113,普通預金,1,もみじ銀行,65424,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/5　売上
2022/08/08,1113,普通預金,1,もみじ銀行,6000,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/6　売上
2022/08/08,1113,普通預金,1,もみじ銀行,シハライキン,0,nan,nan,1111,現金,nan,nan,30000,0,nan,nan,6/17　売上
2022/08/09,1113,普通預金,1,もみじ銀行,12110,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/8　売上
2022/08/09,1122,売掛金,1,カード,400000,0,nan,nan,4111,売上高,nan,nan,ヨキン,1,10,4,カード売上/JCB
2022/08/10,1113,普通預金,1,もみじ銀行,15781,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/9　売上
2022/08/10,1113,普通預金,1,もみじ銀行,シハライキン,0,nan,nan,1111,現金,nan,nan,20000,0,nan,nan,7/20　売上
2022/08/12,1113,普通預金,1,もみじ銀行,200,0,nan,nan,4111,売上高,nan,nan,カカクコム,1,10,4,カカクコムTポイント
2022/08/12,1113,普通預金,1,もみじ銀行,30085,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/10　売上
2022/08/12,1113,普通預金,1,もみじ銀行,56162,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/11　売上
2022/08/12,2115,未払費用,nan,nan,シハライキン,0,nan,nan,1111,現金,nan,nan,500000,0,nan,nan,"従業員給与（6月分角井さん含む5,660円）"
2022/08/15,1113,普通預金,1,もみじ銀行,トシガス,0,nan,nan,1111,現金,nan,nan,23360,0,nan,nan,3/26　売上
2022/08/16/,1113,普通預金,1,もみじ銀行,202086,0,nan,nan,1122,売掛金,1,カード,リクルート,0,nan,nan,リクルートペイメント　入金
2022/08/18,1113,普通預金,1,もみじ銀行,ショウキボキョウサイ,0,nan,nan,1111,現金,nan,nan,70000,0,nan,nan,7/30　売上
2022/08/18,1113,普通預金,1,もみじ銀行,80508,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/12　売上
2022/08/18,1113,普通預金,1,もみじ銀行,39359,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/13　売上
2022/08/18,1113,普通預金,1,もみじ銀行,シハライキン,0,nan,nan,1111,現金,nan,nan,70000,0,nan,nan,7/30　売上
2022/08/19,1113,普通預金,1,もみじ銀行,43252,0,nan,nan,1111,現金,nan,nan,ヨキン,0,nan,nan,8/17　売上
2022/08/22,1113,普通預金,1,もみじ銀行,4,0,nan,nan,4111,売上高,nan,nan,リソク,1,10,4,リクルートポイントプレゼント
2022/08/22,6113,広告宣伝費,nan,nan,サニクリーン,1,10,3,1113,普通預金,1,もみじ銀行,11262,0,nan,nan,タイヘイ　HP（2019.6～）
2022/08/22,6113,広告宣伝費,nan,nan,サニクリーン,1,10,3,1113,普通預金,1,もみじ銀行,19206,0,nan,nan,タイヘイ　HP（2019.6～）
2022/08/22,1113,普通預金,1,もみじ銀行,21941,0,nan,nan,7118,雑収入,nan,nan,21941,0,40,0,"広島支援金センター（第7期　対象期間：1/9-1/31　@30,000×23日）"
