"日付","摘要","出金","入金","残高","抽出文字列"
"04-08-29","操越","","",640001.0,""
"04-08-29","002RT",17800.0,"",622201.0,"APアプラス"
"04-08-29","002RT",23976.0,"",598225.0,"NSミﾂﾋﾞシHBL"
"04-08-29","002RT",36300.0,"",561925.0,"\,DFコモンリヨウ"
"04-08-29","002RT",91830.0,"",470095.0,"APSBSリョウ"
"04-08-29","002K",226.0,43181.0,"","ヨキンキ/"
"04-08-29","002K",927.0,32369.0,554153627465.0,"ヨキンキ/"
"04-08-29","002Q",140000.0,"",405645.0,"シハライキ"
"04-08-30.","002K",929.0,29703.0,435348.0,"ヨキンキノ/"
"04-08-30","002Q",10000.0,"",425348.0,"\,シハライキ"
"04-08-31","002RT",26670.0,"",398678.0,"\,セイサクコウココク"
"04-08-31","002RT",36928.0,"",361750.0,"セイサクコウココク"
"","","","","",""
"04-08-31","002K",230.0,6530309008.0,427148.0,"ヨキンキ/*,支払い"
"04-08-31","002Q",320000.0,5000.0,107148.0,"シハライキくこ\円生活"
"04-09-01","002K",811.0,69923.0,177071.0,"ヨキンキ/"
"04-09-01","002Q",20000.0,"",157071.0,"シハライキ支払い"
"04-09-02","002K","",4478244737.0,201853.0,"ヨキンキ"
"04-09-02","002Q",30000.0,2000.0,171853.0,"\,シハライキ支ざい"
"04-09-05","002LT","",2446.0,247299.0,"カリクルートペイメ"
"04-09-05","002RT",8100.0,"",239199.0,"\,SMTパナ"
"04-09-05","002RT",9210450.0,"",228749.0,"/\,ミツﾋﾞシクレジット"
"04-09-05","002K","",58268.0,287017.0,"ヨキンキ"
"04-09-05","002K",93.0,24470.0,311487.0,"ヨキンキ/"
"04-09-05","002Q",180000.0,"",131487.0,"\,シハライキ"
