"日付","摘要","出金","入金","残高","抽出文字列"
"4-08-22","","","",320395,""
"4-08-22","002K",818,24967,345362,"ヨキンキ/"
"04-08-22","002K",919,57970,403332,"ヨキンキ/"
"04-08-22","002Q",20000,"",383332,",シハライキ"
"04-08-23","002LT","",80000,463332,"ゴートウーイートヒロシ"
"04-08-23","002K",820,83440,546772,"ヨキンキ/"
"04-08-23","002K",922,1000,547772,"ヨキンキ/"
"04-08-23","002Q",20000,"",527772,",シハライキ"
"04-08-24","002K",823,20010,547782,"ヨキンキ/"
"000444---000888---222555","000000222LLKTT",924,364521841409057,959551472287228429,"カヨリクキ)ルンリクキールトー/ポトイペントプイメ"
"04-08-25","002Q",220000,"",737224,"シハライキ"
"04-08-26","002RT",525,"",736699,"ソフトバンクモバイル"
"","","","","",""
"000000444444------000000888888------222222566556","000000000000222222LKQRRRTTTT",92422660508529016500,36421844957,997777513233467037227621922928439499,"カヨキ)ンリクキルー/*トペイ,,,メソスシソハカフフパラトトイババキー*ンン(ク*クSモモMババFS,,イイルル個人"
"0044--0088--2266","000022KQ",815100000,158230000007027,677777002200,"ヨキンキ/*,シハライキ*,県生活信費"
"","","","","",""
"00004444----00008888----22229969","000000002222RRQRTTT",1015031038565000801,1820000,666657677637083102600911,"**,,,,シAASPPハMラB((イSソCキフB(Sタトバイリヘヨンイウク(B生活費"
"","","","","",""
"","","","","",""
"0000000044444444--------0000000088888888--------2222222266556696","000000000000000022222222KKQRRRRQTTTT",982145210266003500885295001650001,14582230000004709257,997676777513237737467037737220760211922922826430940999,"ヨヨキキンンキキ//**,,,,,ソシスシソAハPカハフフラパラトト(イバイバSキキーBンンS(ク**クSリモモMヨババFウS,,イイルル県生活信個費人"
"04-08-29","002RT",5368,"",667801,",APソフトバンクB"
"0044--0088--2299","000022RRTT",1161530000,"",665406030011,"*,,ジSMヤBツCクスタイヘイ"
