伝票日付,（借）科目ｺｰﾄﾞ,（借）科目名,（借）補助ｺｰﾄﾞ,（借）補助名,（借）金額,（借）税込区分,（借）消費税ｺｰﾄﾞ,（借）消費税率,（貸）科目ｺｰﾄﾞ,（貸）科目名,（貸）補助ｺｰﾄﾞ,（貸）補助名,（貸）金額,（貸）税込区分,（貸）消費税ｺｰﾄﾞ,（貸）消費税率,摘要
2022/08/05,1113,普通預金,1,もみじ銀行,4006,0,nan,nan,1122,売掛金,2,Go To Eat,4006,0,nan,nan,Go　To　Eat　入金
2022/08/05,1122,売掛金,2,Go To Eat,3846,0,nan,nan,4111,売上高,nan,nan,3846,1,10,4,Go To Eat　売上
2022/08/05,1122,売掛金,2,Go To Eat,3526,0,nan,nan,4111,売上高,nan,nan,3526,1,10,4,Go　To　Eat　売上
2022/08/05,1113,普通預金,1,もみじ銀行,5449,0,nan,nan,1122,売掛金,2,Go To Eat,5449,0,nan,nan,Go To Eat　入金
2022/08/05,1122,売掛金,2,Go To Eat,6090,0,nan,nan,4111,売上高,nan,nan,6090,1,10,4,Go To Eat　売上
2022/08/05,1122,売掛金,2,Go To Eat,1923,0,nan,nan,4111,売上高,nan,nan,1923,1,10,4,Go To Eat　売上
2022/08/05,1122,売掛金,2,Go To Eat,6090,0,nan,nan,4111,売上高,nan,nan,6090,1,10,4,Go To Eat　売上
2022/08/05,1122,売掛金,2,Go To Eat,1923,0,nan,nan,4111,売上高,nan,nan,1923,1,10,4,Go To Eat　売上
2022/08/05,5211,商品仕入高,nan,nan,1704,1,10,4,1111,現金,nan,nan,1704,0,nan,nan,Amazon　焼酎
2022/08/05,1122,売掛金,2,Go To Eat,1603,0,nan,nan,4111,売上高,nan,nan,1603,1,10,4,Go To Eat　売上
2022/08/05,1122,売掛金,2,Go To Eat,1603,0,nan,nan,4111,売上高,nan,nan,1603,1,10,4,Go To Eat　売上
2022/08/05,5211,商品仕入高,nan,nan,1343,1,10,4,1111,現金,nan,nan,1343,0,nan,nan,楽天市場（SAKE People）　仕入
2022/08/05,1122,売掛金,2,Go To Eat,962,0,nan,nan,4111,売上高,nan,nan,962,1,10,4,Go To Eat　売上
2022/08/05,1122,売掛金,2,Go To Eat,801,0,nan,nan,4111,売上高,nan,nan,801,1,10,4,Go To Eat　売上
2022/08/05,6225,消耗品費,nan,nan,494,1,10,4,1111,現金,nan,nan,494,0,nan,nan,Amazon（WELLNET）　消耗品代
2022/08/05,5211,商品仕入高,nan,nan,478,1,10,4,1111,現金,nan,nan,478,0,nan,nan,Amazon　日本酒
2022/08/05,1113,普通預金,1,もみじ銀行,373,0,nan,nan,1122,売掛金,0,諸口,373,0,nan,nan,カカクコム　Tポイント　入金
2022/08/05,1113,普通預金,1,もみじ銀行,12821,0,nan,nan,1122,売掛金,2,Go To Eat,12821,0,nan,nan,Go　To　Eat　入金
2022/08/05,1113,普通預金,1,もみじ銀行,25000,0,nan,nan,1122,売掛金,2,Go To Eat,25000,0,nan,nan,Go　To　Eat　入金
